"X","species","lat","lon","elev","species_factor"
377,1,27.243947,112.729951,98,"presence"
379,1,26.221887,111.631136,132,"presence"
380,1,27.06032,110.575848,316,"presence"
381,1,27.443411,109.68514,254,"presence"
382,1,25.255089,110.050532,175,"presence"
383,1,24.442178,114.938686,229,"presence"
384,1,24.33566,116.625881,376,"presence"
385,1,21.861339,111.981851,13,"presence"
387,1,25.526439,111.600795,172,"presence"
390,1,25.570976,111.945802,210,"presence"
392,1,23.395774,106.626638,740,"presence"
396,1,24.403562,111.566656,109,"presence"
398,1,24.186045,113.415062,23,"presence"
400,1,25.635742,109.592453,452,"presence"
401,1,23.917736,116.274769,506,"presence"
404,1,25.742153,110.040007,389,"presence"
405,1,23.160603,106.288701,807,"presence"
409,1,33.037845,108.247744,440,"presence"
414,1,33.156784,107.333733,479,"presence"
415,1,22.446542,111.031652,346,"presence"
416,1,23.490446,111.295924,73,"presence"
420,1,33.327283,106.156715,920,"presence"
421,1,25.03299,109.926496,394,"presence"
423,1,23.9022,106.618742,143,"presence"
429,1,24.095943,110.991129,338,"presence"
437,1,27.99,108.4,763,"presence"
440,1,31.370137,109.629918,541,"presence"
444,1,31.732429,105.9348,441,"presence"
448,1,29.290189,106.259272,255,"presence"
451,1,29.157849,107.099276,741,"presence"
452,1,31.114073,109.87945,262,"presence"
454,1,31.05468,109.411179,353,"presence"
455,1,29.32,114.96,175,"presence"
457,1,28.7,115.38,21,"presence"
462,1,29.351226,107.616845,738,"presence"
464,1,31.911853,107.244995,450,"presence"
470,1,32.536693,107.894969,814,"presence"
476,1,30.710589,104.088668,527,"presence"
477,1,30.791258,106.082997,300,"presence"
479,1,26.587146,114.100817,1201,"presence"
481,1,26.32496,114.514242,122,"presence"
485,1,28.52075,114.37098,337,"presence"
486,1,25.395202,114.358084,222,"presence"
488,1,24.911106,114.789812,212,"presence"
489,1,28.436327,118.191314,97,"presence"
490,1,28.443318,117.976373,64,"presence"
492,1,29.671778,115.989221,166,"presence"
493,1,26.326566,116.343476,250,"presence"
494,1,27.706099,117.060259,321,"presence"
495,1,27.218447,116.525727,97,"presence"
496,1,28.315215,117.70945,57,"presence"
497,1,25.136922,115.393921,452,"presence"
498,1,24.95476,115.650136,321,"presence"
499,1,29.61015,115.998104,938,"presence"
501,1,29.247988,117.862004,120,"presence"
502,1,27.392869,114.619889,95,"presence"
503,1,29.243579,113.814207,145,"presence"
505,1,25.885558,116.027126,188,"presence"
508,1,26.883388,112.636954,66,"presence"
509,1,32.144677,110.712211,516,"presence"
510,1,32.089392,109.815677,1095,"presence"
511,1,33.31033,108.314391,1058,"presence"
516,1,29.326488,114.963105,175,"presence"
519,1,31.237023,120.406916,9,"presence"
520,1,23.496251,108.623457,122,"presence"
524,1,24.95476,115.650137,321,"presence"
530,1,31.92228,119.174162,14,"presence"
535,1,31.375019,119.823343,4,"presence"
539,1,31.462191,116.948669,21,"presence"
544,1,32.394476,119.413201,7,"presence"
545,1,31.869157,118.802987,5,"presence"
550,1,29.854053,117.71739,121,"presence"
560,1,26.837264,116.325753,155,"presence"
578,1,31.67832,115.879605,348,"presence"
579,1,30.893783,119.417203,25,"presence"
580,1,28.59204,119.276247,534,"presence"
582,1,29.786224,118.182474,159,"presence"
583,1,29.144543,120.976081,107,"presence"
585,1,31.526047,120.31968,16,"presence"
588,1,29.866159,118.431373,161,"presence"
595,1,31.131368,118.174192,41,"presence"
599,1,32.059064,119.418318,32,"presence"
601,1,30.690534,118.406439,23,"presence"
603,1,28.746779,115.826905,23,"presence"
604,1,29.590681,121.414633,103,"presence"
606,1,31.579934,120.299456,9,"presence"
610,1,28.627021,121.213617,6,"presence"
612,1,28.253586,121.022805,22,"presence"
615,1,30.952825,117.791548,42,"presence"
620,1,30.940716,118.758817,11,"presence"
621,1,30.553863,114.316006,27,"presence"
626,1,27.98704,120.65486,76,"presence"
629,1,27.954691,107.716355,847,"presence"
630,1,27.69375,108.850061,442,"presence"
631,1,29.031361,119.63238,50,"presence"
632,1,29.578225,118.875568,55,"presence"
645,1,27.756659,118.035307,432,"presence"
649,1,31.905842,102.206261,3012,"presence"
650,1,28.154072,109.202889,912,"presence"
651,1,24.780744,112.377423,239,"presence"
654,1,27.517207,108.234515,663,"presence"
656,1,32.445845,104.553645,1316,"presence"
658,1,26.009594,108.450605,561,"presence"
659,1,31.331599,110.783719,1016,"presence"
661,1,29.805032,106.395571,308,"presence"
664,1,24.831971,114.142574,568,"presence"
666,1,24.479669,118.089767,73,"presence"
670,1,27.973349,119.635867,724,"presence"
676,1,26.588884,107.977112,747,"presence"
677,1,33.068384,107.031898,511,"presence"
680,1,23.651079,113.671053,94,"presence"
684,1,27.561804,119.938731,649,"presence"
685,1,25.183457,114.338043,156,"presence"
688,1,25.133406,105.399807,1288,"presence"
689,1,24.567694,112.080663,387,"presence"
690,1,26.640478,118.182303,344,"presence"
691,1,23.089611,114.417425,19,"presence"
692,1,24.079566,114.176992,200,"presence"
693,1,23.101721,112.755582,14,"presence"
695,1,29.457648,109.443795,574,"presence"
696,1,31.392687,116.332887,115,"presence"
697,1,29.868336,121.54399,8,"presence"
698,1,28.074413,119.141815,222,"presence"
701,1,29.010101,114.41263,388,"presence"
702,1,28.861475,115.362625,97,"presence"
705,1,28.45,110.4,370,"presence"
