id1,id2,lat,lon,elev
,,33.9125,107.8875,1577
,,33.9125,107.9291667,1416
,,33.9125,107.9708333,1377
,,33.9125,108.0125,1324
,,33.9125,108.0541667,1590
,,33.9125,108.0958333,1147
,,33.9125,108.1375,1688
,,33.9125,108.1791667,1290
,,33.9125,108.2208333,1724
,,33.9125,108.2625,2066
,,33.9125,108.3041667,2151
,,33.9125,108.3458333,1744
,,33.9125,108.3875,1908
,,33.9125,108.4291667,2081
,,33.9125,108.4708333,1919
,,33.9125,108.5125,1291
,,33.9125,108.5541667,1915
,,33.9125,108.5958333,2255
,,33.9125,108.6375,1679
,,33.9125,108.6791667,1605
,,33.9125,108.7208333,1669
,,33.9125,108.7625,1836
,,33.9125,108.8041667,2087
,,33.9125,108.8458333,1758
,,33.9125,108.8875,2115
,,33.9125,108.9291667,1916
,,33.9125,108.9708333,2061
,,33.9125,109.0125,2029
,,33.9125,109.0541667,1717
,,33.9125,109.0958333,1988
,,33.9125,109.1375,2126
,,33.9125,109.1791667,1917
,,33.9125,109.2208333,1958
,,33.9125,109.2625,1849
,,33.9125,109.3041667,1750
,,33.9125,109.3458333,1487
,,33.9125,109.3875,1467
,,33.9125,109.4291667,1662
,,33.9125,109.4708333,1508
,,33.9125,109.5125,1356
,,33.9125,109.5541667,1480
,,33.9125,109.5958333,1383
,,33.9125,109.6375,1330
,,33.9125,109.6791667,1291
,,33.9125,109.7208333,1221
,,33.9125,109.7625,1067
,,33.9125,109.8041667,946
,,33.9125,109.8458333,862
,,33.9125,109.8875,801
,,33.9125,109.9291667,866
,,33.9125,109.9708333,911
,,33.9125,110.0125,1058
,,33.9125,110.0541667,1185
,,33.9125,110.0958333,1118
,,33.9125,110.1375,1009
,,33.9125,110.1791667,1012
,,33.9125,110.2208333,1165
,,33.9125,110.2625,1181
,,33.9125,110.3041667,1291
,,33.9125,110.3458333,1373
,,33.9125,110.3875,1306
,,33.9125,110.4291667,1315
,,33.9125,110.4708333,1210
,,33.9125,110.5125,1117
,,33.9125,110.5541667,1254
,,33.9125,110.5958333,1271
,,33.9125,110.6375,1104
,,33.9125,110.6791667,1101
,,33.9125,110.7208333,996
,,33.9125,110.7625,1077
,,33.9125,110.8041667,1126
,,33.9125,110.8458333,1177
,,33.9125,110.8875,1163
,,33.9125,110.9291667,1143
,,33.9125,110.9708333,1092
,,33.9125,111.0125,1105
,,33.9125,111.0541667,1158
,,33.9125,111.0958333,1223
,,33.9125,111.1375,1135
,,33.9125,111.1791667,1094
,,33.9125,111.2208333,1162
,,33.9125,111.2625,1225
,,33.9125,111.3041667,1374
,,33.9125,111.3458333,1305
,,33.9125,111.3875,1444
,,33.9125,111.4291667,1358
,,33.9125,111.4708333,1357
,,33.9125,111.5125,1428
,,33.9125,111.5541667,1268
,,33.9125,111.5958333,1402
,,33.9125,111.6375,1395
,,33.9125,111.6791667,1208
,,33.9125,111.7208333,705
,,33.9125,111.7625,732
,,33.9125,111.8041667,855
,,33.9125,111.8458333,881
,,33.9125,111.8875,676
,,33.9125,111.9291667,826
,,33.9125,111.9708333,947
,,33.9125,112.0125,1205
,,33.9125,112.0541667,900
,,33.9125,112.0958333,1026
,,33.9125,112.1375,1081
,,33.9125,112.1791667,716
,,33.9125,112.2208333,934
,,33.9125,112.2625,1163
,,33.9125,112.3041667,1020
,,33.9125,112.3458333,894
,,33.9125,112.3875,1085
,,33.9125,112.4291667,896
,,33.9125,112.4708333,694
,,33.9125,112.5125,582
,,33.9125,112.5541667,437
,,33.9125,112.5958333,325
,,33.9125,112.6375,258
,,33.9125,112.6791667,233
,,33.9125,112.7208333,232
,,33.9125,112.7625,235
,,33.9125,112.8041667,231
,,33.9125,112.8458333,265
,,33.9125,112.8875,182
,,33.9125,112.9291667,166
,,33.9125,112.9708333,150
,,33.9125,113.0125,138
,,33.9125,113.0541667,109
,,33.9125,113.0958333,103
,,33.9125,113.1375,98
,,33.9125,113.1791667,89
,,33.9125,113.2208333,80
,,33.9125,113.2625,80
,,33.9125,113.3041667,77
,,33.9125,113.3458333,122
,,33.9125,113.3875,93
,,33.9125,113.4291667,88
,,33.9125,113.4708333,84
,,33.9125,113.5125,83
,,33.9125,113.5541667,82
,,33.9125,113.5958333,78
,,33.9125,113.6375,75
,,33.9125,113.6791667,73
,,33.9125,113.7208333,73
,,33.9125,113.7625,72
,,33.9125,113.8041667,68
,,33.9125,113.8458333,64
,,33.9125,113.8875,55
,,33.9125,113.9291667,54
,,33.9125,113.9708333,52
,,33.9125,114.0125,52
,,33.9125,114.0541667,56
,,33.9125,114.0958333,54
,,33.9125,114.1375,53
,,33.9125,114.1791667,52
,,33.9125,114.2208333,49
,,33.9125,114.2625,50
,,33.9125,114.3041667,53
,,33.9125,114.3458333,53
,,33.9125,114.3875,56
,,33.9125,114.4291667,55
,,33.9125,114.4708333,54
,,33.9125,114.5125,54
,,33.9125,114.5541667,52
,,33.9125,114.5958333,52
,,33.9125,114.6375,51
,,33.9125,114.6791667,52
,,33.9125,114.7208333,53
,,33.9125,114.7625,56
,,33.9125,114.8041667,57
,,33.9125,114.8458333,59
,,33.9125,114.8875,60
,,33.9125,114.9291667,60
,,33.9125,114.9708333,65
,,33.9125,115.0125,66
,,33.9125,115.0541667,63
,,33.9125,115.0958333,62
,,33.9125,115.1375,60
,,33.9125,115.1791667,59
,,33.9125,115.2208333,54
,,33.9125,115.2625,52
,,33.9125,115.3041667,51
,,33.9125,115.3458333,51
,,33.9125,115.3875,42
,,33.9125,115.4291667,40
,,33.9125,115.4708333,45
,,33.9125,115.5125,45
,,33.9125,115.5541667,37
,,33.9125,115.5958333,37
,,33.9125,115.6375,37
